,code,name,latitude,longitude,start,close,type,year,Administrativos (femeninos),Administrativos (masculinos),Gastos: Agua,Gastos: Electricidad,Gastos: Infotep,Gastos: TSS,Gastos: Telecomunicaciones,Inversion Acumulada,Naves Construidas,Naves Ocupadas,Numero de Empresas,Obreros (femeninos),Obreros (masculinos),Salario Operarios,Salario Tecnicos,Tecnicos (femeninos),Tecnicos (masculinos)
1448,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2003,2.0,2.0,36000.0,0.0,80000.0,480000.0,51516.0,1000000.0,32374.0,32374.0,1.0,298.0,24.0,844.0,2000.0,0.0,0.0
1449,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2004,2.0,2.0,38450.0,0.0,85000.0,200000.0,95540.0,1200000.0,48563.0,48563.0,1.0,263.0,81.0,950.0,2100.0,1.0,2.0
1450,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2005,3.0,3.0,58471.4,1059585.08,18547.0,0.0,162826.17,1280000.0,48563.0,32375.0,2.0,272.0,104.0,1012.0,1999.5,3.0,8.0
1451,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2006,1.0,4.0,0.0,0.0,159505.21,497872.54,439202.0,380000.0,48563.0,32375.0,2.0,135.0,58.0,1030.48,3000.0,18.0,8.0
1452,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2007,1.0,1.0,20245.0,612457.0,10458.0,135016.0,165365.25,270000.0,48563.0,32375.0,1.0,86.0,15.0,1142.58,3650.0,13.0,6.0
1453,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2008,4.0,3.0,56493.0,785000.0,50078.64,457382.55,181800.0,485000.0,48563.0,32375.0,2.0,109.0,9.0,1117.0,6000.0,1.0,5.0
1454,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2009,3.0,3.0,22356.0,336000.0,30000.0,598589.94,69600.0,100000.0,48563.0,16188.0,1.0,65.0,2.0,1450.0,4500.0,0.0,1.0
1455,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2010,5.0,0.0,22344.0,540000.0,30000.0,941028.41,66720.0,180000.0,48563.0,16040.0,1.0,81.0,5.0,1450.0,4500.0,0.0,2.0
1456,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2011,6.0,2.0,32002.0,521478.0,23251.0,1388704.73,68251.0,165428.0,48563.0,48563.0,1.0,73.0,8.0,1475.0,4800.0,1.0,2.0
1457,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2012,2.0,0.0,34344.0,542318.0,53038.0,1503183.87,77769.0,350000.0,48563.0,48563.0,2.0,100.0,11.0,1567.62,3811.5,1.0,4.0
1458,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,2013,,,21724.0,300000.0,12320.0,1636707.65,13400.0,400000.0,487111.04,487111.04,2.0,,,1671.34,3811.5,,
